Domain	Phylum	Class	Order	Family	Genus	Species	SGB
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Convivina	Convivina intestini	SGB7134
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	RUG099		SGB71345
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Schleiferilactobacillus	Schleiferilactobacillus perolens	SGB7135
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Schleiferilactobacillus	Schleiferilactobacillus harbinensis	SGB7136
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia		SGB71360
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Copromorpha		SGB71367
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Copromorpha		SGB71368
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Schleiferilactobacillus	Schleiferilactobacillus shenzhenensis	SGB7137
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus mellis	SGB7138
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	Bombilactobacillus mellifer	SGB7139
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium sp013394775	SGB71397
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Holzapfelia	Holzapfelia floricola	SGB7140
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus rennini	SGB7141
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	SGB7142
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus	SGB7144
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Pseudolachnospira		SGB71449
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus manihotivorans	SGB7146
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Pseudobutyrivibrio		SGB71462
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA1712	UBA1712 sp018056665	SGB71463
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95		SGB71464
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus saniviri	SGB7147
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus brantae	SGB7148
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Paralactobacillus	Paralactobacillus selangorensis	SGB7149
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus pantheris	SGB7150
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus thailandensis	SGB7151
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira		SGB71511
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus camelliae	SGB7152
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus sharpeae	SGB7153
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus nasuensis	SGB7154
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus		SGB7156
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus kunkeei	SGB7157
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus apinorum	SGB7159
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus ozensis	SGB7160
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG8767	RGIG8767 sp016294075	SGB71602
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp018384375	SGB71603
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus fructivorans	SGB7161
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus florum	SGB7162
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor		SGB71624
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus lindneri	SGB7163
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus sanfranciscensis	SGB7164
